src,split,category,level
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fO7epp6cIyk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0mcjJ35IlsQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-0lfUaTIAEs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\GN2UTYoip98.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1OcA0gQFWjM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1Hi5GMotrjs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1FEcfy-moBM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0RRkBEUk1EY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\gGzjni9-aQI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0lkvs1QUcjI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\FXN38F_eok4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lYxsj_NclhY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lsjOb3hl5FM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_gPCy4ahhVk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0i1lP-WyXLU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\akNMDEoNRvA.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4XWyND-u0PA.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-1vQEXONh3Y.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-1qwHuGXhuo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0lCWhhGesNI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1En6j7p8QxE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1HDx1DeSq6A.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_5cvAd0KAk4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\BHMeO1L6sO4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-1iWWmJmwzI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_mMT4Nt_c-A.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1B7v7KBj8CA.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\g_wHimPF9o8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fp3yApjjqt0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\g0zaM1oiZfg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lWPAmQwnbwc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4Xn_uxgQl8g.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1e-yLDRbDhE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\54lAglxSbaY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_NRenVb-Vn8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1pNdXcMQX_8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LmD69Doc1z8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lPWqXYOlZ_Y.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-1GsilN0qjU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\gpBtWEMqzM4.mp4,train,clean,
